Set_Name,Theme,Pieces,Price,Pages,Unique_Pieces,build_type
Beach Buggy,City,45.0,4.99,3.0,29.0,transport
Baby Velociraptor Playpen,Jurassic World,48.0,3.99,3.0,25.0,other
Olivia's Remote Control Boat,Friends,25.0,3.99,3.0,23.0,transport
Unikitty Roller Coaster Wagon,Unikitty,46.0,3.99,3.0,28.0,transport
Chocolate Box & Flower,Friends,75.0,4.99,3.0,32.0,other
Royal Talon Fighter,Marvel,59.0,3.99,3.0,25.0,transport
Rex's Plantimal Ambush,THE LEGO MOVIE 2,32.0,3.99,3.0,23.0,other
The Guardians' Ship,Marvel,69.0,3.99,3.0,36.0,transport
Poppy's Carriage,Trolls World Tour,51.0,4.99,3.0,30.0,other
DJ,Star Wars,22.0,4.99,3.0,15.0,other
Traffic Lights,Xtra,46.0,3.99,3.0,17.0,other
Streetlamps,Xtra,34.0,3.99,3.0,24.0,other
Ninjago Minifigure Pack,NINJAGO,59.0,12.99,3.0,33.0,other
Spider-Man and the Museum Break-In,Marvel,49.0,14.99,3.0,33.0,building
Summer Celebration Minifigure Pack,Minifigures,45.0,12.99,3.0,35.0,other
Police MF Accessory Set,Minifigures,42.0,12.99,3.0,33.0,other
Fairground Accessory Set,Minifigures,51.0,12.99,3.0,35.0,other
Sports Accessories,Xtra,36.0,3.99,3.0,20.0,other
Botanical Accessories,Xtra,32.0,3.99,3.0,17.0,other
Falcon & Black Widow Team-Up,Marvel,60.0,14.99,3.0,34.0,other
Spinjitzu Burst - Cole,NINJAGO,48.0,9.99,3.0,31.0,other
Spinjitzu Burst Lloyd,NINJAGO,48.0,9.99,3.0,30.0,other
Golden Zane Accessory Set ,NINJAGO,73.0,12.99,5.0,31.0,other
Stephanie's Play Cube - Beauty Salon,Friends,44.0,9.99,5.0,35.0,other
Andrea's Jungle Play Cube,Friends,47.0,9.99,5.0,43.0,other
Stephanie's Jungle Play Cube,Friends,41.0,9.99,5.0,38.0,other
Olivia's Jungle Play Cube,Friends,51.0,9.99,5.0,42.0,other
Mia's Jungle Play Cube,Friends,43.0,9.99,5.0,36.0,other
Obi-Wan Kenobi - Collectable Minifigure,Star Wars,12.0,3.99,6.0,10.0,other
My First Dinosaur,DUPLO,7.0,3.49,7.0,6.0,other
Hogwarts Students Accessory Set,Harry Potter,53.0,14.99,9.0,33.0,other
My First Balancing Animals,DUPLO,15.0,14.99,9.0,14.0,other
Bulldozer,DUPLO,10.0,9.99,12.0,10.0,transport
Creative Fun,DUPLO,120.0,39.99,13.0,70.0,other
Truck & Tracked Excavator,DUPLO,20.0,19.99,16.0,19.0,transport
Batcave,Batman,33.0,29.99,20.0,25.0,other
Ariel's Undersea Castle,Disney,35.0,29.99,20.0,27.0,building
Creative Animals,DUPLO,175.0,59.99,20.0,89.0,other
Cute Pug,Creator 3-in-1,68.0,3.99,28.0,32.0,other
Wrecking Ball Demolition,DUPLO,56.0,59.99,32.0,41.0,other
Thanksgiving Turkey,BrickHeadz,114.0,9.99,32.0,48.0,other
Lightning McQueen's Race Day,Disney,42.0,29.99,36.0,32.0,other
Donald Duck,Disney,90.0,9.99,36.0,42.0,other
Emma's Pet Party,Friends,67.0,9.99,36.0,50.0,other
Wonder Woman,BrickHeadz,143.0,9.99,40.0,54.0,other
Easter Chick,BrickHeadz,120.0,9.99,44.0,50.0,other
Olaf's Traveling Sleigh,Disney,97.0,12.99,44.0,52.0,other
Valentine's Bear,BrickHeadz,150.0,9.99,44.0,65.0,other
Lucky Cat,BrickHeadz,134.0,9.99,44.0,71.0,other
Birthday Clown,BrickHeadz,150.0,9.99,48.0,77.0,other
Valentine's Puppy,BrickHeadz,147.0,9.99,48.0,60.0,other
Dragon Dance Guy,BrickHeadz,170.0,9.99,48.0,72.0,other
Lady Liberty,BrickHeadz,153.0,9.99,48.0,43.0,other
Easter Sheep,BrickHeadz,192.0,9.99,48.0,57.0,other
Wedding Bride,BrickHeadz,306.0,12.99,48.0,101.0,other
Wedding Groom,BrickHeadz,255.0,12.99,48.0,107.0,other
Fun Future,Classic,186.0,9.99,49.0,95.0,other
Tower Crane & Construction,DUPLO,123.0,129.99,56.0,72.0,building
Lucy's Builder Box!,THE LEGO MOVIE 2,141.0,29.99,56.0,71.0,other
Emmet's Builder Box!,THE LEGO MOVIE 2,125.0,29.99,56.0,76.0,other
Quantum Realm Explorers,Marvel,200.0,19.99,64.0,100.0,other
Moana's Island Home,Disney,202.0,29.99,68.0,121.0,building
People Pack - Space Research and Development,City,209.0,39.99,68.0,146.0,other
Wu's Battle Dragon,NINJAGO,321.0,19.99,68.0,109.0,other
Iron Man Armory,Marvel,258.0,29.99,68.0,110.0,other
Bricks Bricks Bricks,Classic,1500.0,59.99,69.0,327.0,other
Marty McFly & Doc Brown,BrickHeadz,240.0,19.99,69.0,73.0,other
Diagon Alley,Harry Potter,374.0,19.99,72.0,116.0,other
Dilophosaurus Outpost Attack,Jurassic World,289.0,39.99,72.0,124.0,other
Ron Weasley & Albus Dumbledore,BrickHeadz,245.0,19.99,73.0,82.0,other
Battle of Hoth - 20th Anniversary Edition,Star Wars,195.0,14.99,76.0,77.0,other
Goofy & Pluto,Disney,214.0,14.99,76.0,94.0,other
Mulan's Training Grounds,Disney,157.0,29.99,76.0,94.0,other
Funny Octopus Ride,Friends,324.0,39.99,76.0,145.0,other
Kylo Ren & Sith Trooper,Star Wars,240.0,19.99,76.0,72.0,other
Owen & Blue,BrickHeadz,234.0,19.99,77.0,82.0,other
Black Widow's Helicopter Chase,Marvel,271.0,29.99,80.0,125.0,transport
Venom Crawler,Marvel,413.0,29.99,80.0,132.0,other
Armored Assault Tank (AAT),Star Wars,286.0,39.99,80.0,121.0,other
Captain Marvel and The Skrull Attack,Marvel,307.0,29.99,80.0,126.0,other
Mr. & Mrs. Claus,BrickHeadz,341.0,19.99,84.0,109.0,other
Death Star II Battle,Star Wars,235.0,14.99,84.0,72.0,other
501st Legion Clone Troopers,Star Wars,285.0,29.99,84.0,125.0,other
Hoth Medical Chamber,Star Wars,255.0,29.99,84.0,120.0,other
Sandspeeder,Star Wars,278.0,29.99,84.0,110.0,other
Bricks and Eyes ,Classic,451.0,29.99,88.0,171.0,other
Stephanie's House,Friends,170.0,39.99,92.0,116.0,building
Emmet's Triple-Decker Couch Mech,THE LEGO MOVIE 2,312.0,29.99,92.0,98.0,other
Journey to the Skull Dungeons,NINJAGO,401.0,29.99,92.0,164.0,other
Bespin Duel,Star Wars,295.0,39.99,96.0,121.0,other
White Dragon Horse Bike,Monkie Kid,259.0,34.99,96.0,134.0,transport
"Reindeer, Elf and Elfie",BrickHeadz,281.0,19.99,97.0,116.0,other
Storm Fighter Battle,NINJAGO,165.0,29.99,100.0,96.0,transport
Bricks and Animals,Classic,1500.0,59.99,101.0,339.0,other
Spinning Brushes Car Wash,Friends,325.0,29.99,108.0,174.0,transport
Air Race,City,140.0,39.99,108.0,84.0,other
Bricks and Lights,Classic,441.0,29.99,109.0,173.0,other
Quidditch Match,Harry Potter,500.0,39.99,112.0,205.0,other
Iron Bull Tank,Monkie Kid,430.0,49.99,124.0,160.0,other
Rainbow Caterbus,Trolls World Tour,395.0,39.99,132.0,170.0,other
Kai Fighter,NINJAGO,513.0,39.99,132.0,174.0,transport
Jurassic Park Velociraptor Chase ,Jurassic World,360.0,39.99,132.0,195.0,other
Winter Village Fire Station,Creator Expert,1166.0,99.99,136.0,323.0,building
Fire Stone Mech,NINJAGO,968.0,69.99,136.0,260.0,other
Death Star Final Duel,Star Wars,775.0,99.99,140.0,241.0,other
Resistance I-TS Transport,Star Wars,932.0,99.99,140.0,215.0,other
Bricks Bricks Plates,Classic,1504.0,69.99,144.0,332.0,other
TIE Fighter Pilot,Star Wars,724.0,59.99,148.0,155.0,transport
Hedwig,Harry Potter,630.0,39.99,148.0,166.0,other
Tree House Treasures ,Creator 3-in-1,260.0,29.99,152.0,119.0,building
Monkie Kid's Cloud Jet,Monkie Kid,390.0,59.99,168.0,199.0,transport
Zane's Mino Creature,NINJAGO,616.0,49.99,172.0,202.0,other
James Bond Aston Martin DB5,Creator Expert,1295.0,149.99,173.0,310.0,other
Attack on The Burrow,Harry Potter,1047.0,99.99,180.0,383.0,other
Police Brick Box,City,301.0,39.99,188.0,162.0,other
Outback Cabin,Creator 3-in-1,305.0,29.99,196.0,141.0,other
Demon Bull King,Monkie Kid,585.0,89.99,200.0,264.0,other
Skull Sorcerer's Dragon,NINJAGO,1016.0,79.99,200.0,303.0,other
Vibe City Concert,Trolls World Tour,494.0,59.99,204.0,216.0,other
Alpaca Mountain Jungle Rescue,Friends,512.0,59.99,208.0,270.0,other
Pigsy's Food Truck,Monkie Kid,455.0,69.99,212.0,299.0,transport
Concrete Mixer Truck,Technic,1163.0,119.99,216.0,127.0,transport
Heartlake City Brick Box,Friends,321.0,39.99,220.0,121.0,other
Y-wing Starfighter,Star Wars,1967.0,199.99,220.0,359.0,transport
Mickey Mouse and Minnie Mouse,Disney,1739.0,179.99,236.0,420.0,other
Red Son's Inferno Truck,Monkie Kid,1111.0,119.99,244.0,350.0,transport
Skull Sorcerer's Dungeons,NINJAGO,1171.0,99.99,256.0,425.0,other
Monkey King Warrior Mech,Monkie Kid,975.0,149.99,272.0,435.0,other
Haunted House,Creator Expert,3231.0,249.99,312.0,467.0,building
Destiny's Bounty,NINJAGO,1781.0,129.99,316.0,479.0,other
Ski Resort,City,806.0,89.99,328.0,348.0,building
Disney Train and Station,Powered UP,2925.0,329.99,397.0,509.0,transport
1989 Batmobile,Batman,3306.0,249.99,404.0,484.0,other
Tree House,Ideas,3036.0,199.99,428.0,482.0,building
Welcome to Apocalypseburg!,THE LEGO MOVIE 2,3178.0,299.99,452.0,692.0,other
Jurassic Park: T. rex Rampage,Jurassic World,3120.0,249.99,464.0,525.0,other
Monkie Kid's Team Secret HQ,Monkie Kid,1105.0,169.99,556.0,622.0,building
Grand Piano,Ideas,3662.0,349.99,564.0,345.0,other
Lamborghini SiÃ¡n FKP 37,Technic,3696.0,379.99,657.0,293.0,transport
