Set_Name,Theme,Pieces,Price,Pages,Unique_Pieces
Wedding Bride,BrickHeadz,306.0,12.99,48.0,101.0
Wedding Groom,BrickHeadz,255.0,12.99,48.0,107.0
Fun Future,Classic,186.0,9.99,49.0,95.0
Tower Crane & Construction,DUPLO,123.0,129.99,56.0,72.0
Lucy's Builder Box!,THE LEGO MOVIE 2,141.0,29.99,56.0,71.0
Emmet's Builder Box!,THE LEGO MOVIE 2,125.0,29.99,56.0,76.0
Quantum Realm Explorers,Marvel,200.0,19.99,64.0,100.0
Moana's Island Home,Disney,202.0,29.99,68.0,121.0
People Pack - Space Research and Development,City,209.0,39.99,68.0,146.0
Wu's Battle Dragon,NINJAGO,321.0,19.99,68.0,109.0
Iron Man Armory,Marvel,258.0,29.99,68.0,110.0
Bricks Bricks Bricks,Classic,1500.0,59.99,69.0,327.0
Marty McFly & Doc Brown,BrickHeadz,240.0,19.99,69.0,73.0
Diagon Alley,Harry Potter,374.0,19.99,72.0,116.0
Dilophosaurus Outpost Attack,Jurassic World,289.0,39.99,72.0,124.0
Ron Weasley & Albus Dumbledore,BrickHeadz,245.0,19.99,73.0,82.0
Battle of Hoth - 20th Anniversary Edition,Star Wars,195.0,14.99,76.0,77.0
Goofy & Pluto,Disney,214.0,14.99,76.0,94.0
Mulan's Training Grounds,Disney,157.0,29.99,76.0,94.0
Funny Octopus Ride,Friends,324.0,39.99,76.0,145.0
Kylo Ren & Sith Trooper,Star Wars,240.0,19.99,76.0,72.0
Owen & Blue,BrickHeadz,234.0,19.99,77.0,82.0
Black Widow's Helicopter Chase,Marvel,271.0,29.99,80.0,125.0
Venom Crawler,Marvel,413.0,29.99,80.0,132.0
Armored Assault Tank (AAT),Star Wars,286.0,39.99,80.0,121.0
Captain Marvel and The Skrull Attack,Marvel,307.0,29.99,80.0,126.0
Mr. & Mrs. Claus,BrickHeadz,341.0,19.99,84.0,109.0
Death Star II Battle,Star Wars,235.0,14.99,84.0,72.0
501st Legion Clone Troopers,Star Wars,285.0,29.99,84.0,125.0
Hoth Medical Chamber,Star Wars,255.0,29.99,84.0,120.0
Sandspeeder,Star Wars,278.0,29.99,84.0,110.0
Bricks and Eyes ,Classic,451.0,29.99,88.0,171.0
Stephanie's House,Friends,170.0,39.99,92.0,116.0
Emmet's Triple-Decker Couch Mech,THE LEGO MOVIE 2,312.0,29.99,92.0,98.0
Journey to the Skull Dungeons,NINJAGO,401.0,29.99,92.0,164.0
Bespin Duel,Star Wars,295.0,39.99,96.0,121.0
White Dragon Horse Bike,Monkie Kid,259.0,34.99,96.0,134.0
"Reindeer, Elf and Elfie",BrickHeadz,281.0,19.99,97.0,116.0
Storm Fighter Battle,NINJAGO,165.0,29.99,100.0,96.0
Bricks and Animals,Classic,1500.0,59.99,101.0,339.0
Spinning Brushes Car Wash,Friends,325.0,29.99,108.0,174.0
Air Race,City,140.0,39.99,108.0,84.0
Bricks and Lights,Classic,441.0,29.99,109.0,173.0
Quidditch Match,Harry Potter,500.0,39.99,112.0,205.0
Iron Bull Tank,Monkie Kid,430.0,49.99,124.0,160.0
Rainbow Caterbus,Trolls World Tour,395.0,39.99,132.0,170.0
Kai Fighter,NINJAGO,513.0,39.99,132.0,174.0
Jurassic Park Velociraptor Chase ,Jurassic World,360.0,39.99,132.0,195.0
Winter Village Fire Station,Creator Expert,1166.0,99.99,136.0,323.0
Fire Stone Mech,NINJAGO,968.0,69.99,136.0,260.0
Death Star Final Duel,Star Wars,775.0,99.99,140.0,241.0
Resistance I-TS Transport,Star Wars,932.0,99.99,140.0,215.0
Bricks Bricks Plates,Classic,1504.0,69.99,144.0,332.0
TIE Fighter Pilot,Star Wars,724.0,59.99,148.0,155.0
Hedwig,Harry Potter,630.0,39.99,148.0,166.0
Tree House Treasures ,Creator 3-in-1,260.0,29.99,152.0,119.0
Monkie Kid's Cloud Jet,Monkie Kid,390.0,59.99,168.0,199.0
Zane's Mino Creature,NINJAGO,616.0,49.99,172.0,202.0
James Bond Aston Martin DB5,Creator Expert,1295.0,149.99,173.0,310.0
Attack on The Burrow,Harry Potter,1047.0,99.99,180.0,383.0
Police Brick Box,City,301.0,39.99,188.0,162.0
Outback Cabin,Creator 3-in-1,305.0,29.99,196.0,141.0
Demon Bull King,Monkie Kid,585.0,89.99,200.0,264.0
Skull Sorcerer's Dragon,NINJAGO,1016.0,79.99,200.0,303.0
Vibe City Concert,Trolls World Tour,494.0,59.99,204.0,216.0
Alpaca Mountain Jungle Rescue,Friends,512.0,59.99,208.0,270.0
Pigsy's Food Truck,Monkie Kid,455.0,69.99,212.0,299.0
Concrete Mixer Truck,Technic,1163.0,119.99,216.0,127.0
Heartlake City Brick Box,Friends,321.0,39.99,220.0,121.0
Y-wing Starfighter,Star Wars,1967.0,199.99,220.0,359.0
Mickey Mouse and Minnie Mouse,Disney,1739.0,179.99,236.0,420.0
Red Son's Inferno Truck,Monkie Kid,1111.0,119.99,244.0,350.0
Skull Sorcerer's Dungeons,NINJAGO,1171.0,99.99,256.0,425.0
Monkey King Warrior Mech,Monkie Kid,975.0,149.99,272.0,435.0
Haunted House,Creator Expert,3231.0,249.99,312.0,467.0
Destiny's Bounty,NINJAGO,1781.0,129.99,316.0,479.0
Ski Resort,City,806.0,89.99,328.0,348.0
Disney Train and Station,Powered UP,2925.0,329.99,397.0,509.0
1989 Batmobile,Batman,3306.0,249.99,404.0,484.0
Tree House,Ideas,3036.0,199.99,428.0,482.0
Welcome to Apocalypseburg!,THE LEGO MOVIE 2,3178.0,299.99,452.0,692.0
Jurassic Park: T. rex Rampage,Jurassic World,3120.0,249.99,464.0,525.0
Monkie Kid's Team Secret HQ,Monkie Kid,1105.0,169.99,556.0,622.0
Grand Piano,Ideas,3662.0,349.99,564.0,345.0
Lamborghini Sián FKP 37,Technic,3696.0,379.99,657.0,293.0
